Regular Hero	Обычный герой
Super Spin!	Супер-крутилка!
I think this is my favorite torch!	Кажется, это мой любимый факел!
Getting sleepyвЂ¦	Клонит в сон…
I'd better start over.	Лучше начать заново.
Recovery!	Восстановление!
Rough'n'Ready	Крутой наготове
"Let's hit the road!"	"В путь!"
We'll get you!	Мы тебя достанем!
I've had my fill!	Я наелся!
He he!	Хе-хе!
Big Dawg	Большой пёс
"I ain't tired!"	"Я не устал!"
We'll take you down!	Мы тебя уделаем!
I've had enough.	С меня хватит.
Ice me up!	Охлади меня!
Monkey Trouble	Обезьянья заварушка
"I've got my eye on the prize!"	"Глаз не спущу с приза!"
I'll do it!	Я сделаю это!
Headin' home.	Домой.
Get blizzy!	Леденей!
I'm compost...	Я компост...
I spy with my little eye...	Вижу-вижу своим глазом...
Not here?	Не здесь?
Darn world!	Чёртов мир!
Don't think about escaping!	И не думай сбежать!
Whatever!	Да какая разница!
Show yourself!	Покажись!
Ball Gazer	Шарогляд
"I foresee...ritual humiliation!"	"Предвижу... ритуальное унижение!"
Where did I go wrong!?	Где я свернул не туда!?
Bullseye!	В яблочко!
Just as I foresaw...	Как я и предвидел...
I need to clear my head.	Надо прочистить голову.
Sweet recovery!	Сладкое восстановление!
Crystal Balls!!!	Хрустальные шары!!!
Give me strength!	Дай мне силы!
More mana for me!	Ещё маны мне!
In a spin!	В крутилке!
All will burn!	Всё сгорит!
Storming!	Штормит!
I can't believe this paralysis.	Не верю этому параличу.
Getting tired...	Устаю...
Let me see...	Дай глянуть...
Rest up!	Отдохни!
Tuck in!	Засыпай!
More bang for your buck!	Больше взрыва за ваши деньги!
Now's the time!	Вот оно, время!
Now to record my progress!	Теперь запишу прогресс!
What a transformation!	Вот это превращение!
Chill out!	Остынь!
Happy Hunter	Весёлый охотник
"You've gotta see this monster!"	"Ты обязан видеть этого монстра!"
But it's too soon...	Но ещё рано...
I hunted you down!	Я тебя выследил!
One down...	Один есть...
Relaunch!	Перезапуск!
Monster medicine!	Монстрячье зелье!
Hear me!!!	Слышь меня!!!
Thanks for that!	Спасибо за это!
It's raining mana!	Маны как из ведра!
Round I go!	Кругом пошёл!
Inferno!	Адское пламя!
Look at this!	Глянь на это!
I'm in bits.	Я в клочья.
I'm a mess.	Я весь растрёпан.
What's the outlook?	Какой прогноз?
Some leftovers for ya!	Тебе остатки!
A trusty barrel!	Надёжная бочка!
Ah, my ally!	Ах, мой союзник!
Appearance is everything!	Внешность — это всё!
I'm frozen!	Я замёрз!
Churlish Choker	Грубый душитель
"Don't put that in your mouth!"	"Это в рот не клади!"
I choked...	Я подавился...
Don't make me tie you up...	Не заставляй меня вязать тебя...
Sorry I couldn't help.	Жаль, не смог помочь.
One step forward, two steps back.	Шаг вперёд, два назад.
Puts a spring in the step.	Пружина в шаге.
Take my wife!!! Please!!!	Заберите жену!!! Пожалуйста!!!
Mine, all mine!	Моё, всё моё!
Your mana's mine!	Твоя мана — моя!
Spin Maneuver!	Крутильный манёвр!
Breath of fresh air.	Глоток свежего воздуха.
Getting ready to camp.	Готовлюсь к лагерю.
Darn. I'm stuck.	Чёрт. Застрял.
Yawn!	Зевок!
This isn't looking good.	Дело плохо.
All set, suckers!	Готово, сосунки!
Bombs away!	Бомбы пошли!
I'm countin' on you!	Я на тебя рассчитываю!
Pitch a tent!	Ставь палатку!
Don't blow my cover...	Не спали меня...
Bit chilly.	Прохладно малость.
Green-Eyed Monster	Зеленоглазый монстр
"What is she to you?"	"Кто она тебе?"
I'm all outta juice...	Сок кончился...
That's Badman!?	Это Бэдмен!?
I'm back on top!	Я снова на коне!
WHO IS SHE!?!!	КТО ОНА!?!!
Mine! Mine! Mine!	Моё! Моё! Моё!
Don't touch my mana!	Не трогай мою ману!
Spinning spinster!	Крутящаяся старая дева!
Yes! Burn!!!	Да! Гори!!!
Whip up a storm!!!	Вздымай бурю!!!
Some light!	Света!
I've been poisoned!	Меня отравили!
I've gone numb!	Я онемел!
Let's have a look...	Давай глянем...
Pajama party!	Пижамная вечеринка!
Get blown sky-high!	Взлети до небес!
Come, my lovelies!	Идите, мои милые!
Costume change.	Смена костюма.
It's colder than my heart.	Холоднее моего сердца.
Pushy Parent	Настырный родитель
"C'mon Junior! Do it for me!"	"Давай, сынок! Сделай это для меня!"
First aid kit anyone...?	Аптечка есть...?
I knew I'd find you!	Я знал, что найду тебя!
Another one bites the dust.	Ещё один отбросил коньки.
Dagnabit!	Вот чёрт!
I'm on top of the world!	Я на вершине мира!
Fresh blood!	Свежая кровь!
Rotor blades!	Лопасти ротора!
Antidote!	Противоядие!
I'm rooted to the spot.	Прирос к месту.
So very tired...	Так устал...
I wonder...	Интересно...
Don't let the bedbugs bite!	Спокойной ночи, клопы не кусайте!
Better make a note...	Лучше сделать пометку...
Freeze!	Замри!
Let's go nuts!	Давай с ума!
A portable barrier!	Переносной барьер!
Daddy's Boy	Папин сынок
"Can I go now, daddy?"	"Можно мне уже, пап?"
Curse you all!	Будьте вы прокляты!
Come and meet the folks.	Иди знакомиться с роднёй.
Fare thee well.	Прощай.
Back we go.	Назад пошли.
I'm a grown man!	Я взрослый!
More for me!	Ещё мне!
Better step back!	Лучше отойди!
Does this go any brighter?	Это ещё ярче бывает?
Hair of the dog?	Опохмелиться?
I'm all tingly.	Всё покалывает.
Beddy-bye-bye!	Баю-бай-бай!
Don't leave me alone!	Не оставляй меня одного!
It's an insurance policy.	Это страховка.
Laid-Back Loafer	Лоботряс в отрыве
"You seen my socks, bro?"	"Не видел мои носки, брат?"
Bummer, bro.	Облом, брат.
Hey, bro, come with me!	Эй, брат, пойдём со мной!
We're still BFF, bro.	Мы всё ещё лучшие друзья, брат.
Spin the bottle, dude!	Крути бутылку, чувак!
That hits the spot, bro.	В самое яблочко, брат.
Don't bogart the mana, dude!	Не присваивай ману, чувак!
Cool tornado, dude.	Крутой смерч, чувак.
Torches rock!	Факелы — огонь!
I'm tingling, bro.	Покалывает, брат.
I'm zoning out, bro.	Плыву куда-то, брат.
Which way to go, bro?	Куда идти, брат?
Bedtime, bro.	Спать, брат.
Um, should I, like, save...?	Эм, мне, типа, сохраниться...?
Um, it's kinda cold.	Эм, как-то холодно.
There you go, bro.	На, брат.
Put-Upon Putz	Замученный растяпа
"He's moving out, I swear."	"Он съезжает, честное слово."
Oh, that's just GREAT!	Ну это просто ПРЕЛЕСТЬ!
You expect me to drag you back!?	Ты ждёшь, что я тебя обратно потащу!?
Probably for the best.	Наверное, так даже лучше.
Must I go round again?	Опять по кругу!?
Well, that's a little better.	Ну, чуть получше.
Mana donations welcome!	Пожертвования маны приветствуются!
A fine tornado!	Славный смерч!
Ah, a good torch!	Ах, хороший факел!
Poison? How awful.	Яд? Как ужасно.
Paralysis? How awful.	Паралич? Как ужасно.
Getting drowsy.	Клонит в дрёму.
Let's think about this calmly.	Давай подумаем спокойно.
We must save ourselves!	Мы должны себя спасти!
Frigid beam!	Ледяной луч!
Shuffle things up!	Перетасуем!
King-Sized Kid	Король-переросток
"My people love me!"	"Народ меня любит!"
Take my crown!	Бери мою корону!
Locked-on!	Захват цели!
Don't go!	Не уходи!
From the top!	С начала!
Fit for a king!	Достойно короля!
I'll steal ya!	Я тебя украду!
Hello hurricane!	Привет, ураган!
This makes things clearer.	Так всё яснее.
Where's my beefeater!?	Где мой стражник!?
Darn paralysis.	Чёртов паралич.
King-sized yawn...	Королевский зевок...
What's a king to do?	Что королю делать?
Snooze!	Дремли!
A good backup plan!	Хороший запасной план!
Cool it!	Остынь!
Royal riot!	Королевский бунт!
I feel so safe...	Так спокойно...
Harsh Taskmaster	Суровый надсмотрщик
"Work 'em till they drop!"	"Гонь их, пока не свалятся!"
They bled me dry!	Меня выжали досуха!
Hands up!	Руки вверх!
Avenge me!	Отомсти за меня!
Sheesh. Not again...	Ёлки. Опять...
Blood sucker!	Кровосос!
Ring-a-ring-o'- roses!	Каравай-каравай, кого хочешь выбирай!
They poisoned me!	Меня отравили!
My body's broken.	Тело сломано.
Well now...	Ну что ж...
Good spot for a save.	Хорошее место сохраниться.
Check me out!	Глянь на меня!
Queen Bee	Королева улья
"Think outside the box!"	"Думай шире коробки!"
Don't you know who I am!?	Ты что, не знаешь, кто я!?
Let's go, sunshine.	Пошли, солнышко.
You'll never make it without me!	Без меня тебе не выжить!
Another lap?	Ещё круг?
Simply magical!	Просто волшебство!
Volcanic ash!	Вулканический пепел!
The poison's overpowering.	Яд пересиливает.
I can't move a muscle!	Мышца не слушается!
Sleep prevails...	Сон побеждает...
Think outside the box.	Думай шире коробки.
I'll save my place.	Сохраню местечко.
Priest of Yeast	Жрец дрожжей
"I'm fresh outta the oven!"	"Я только из печи!"
I got burnt.	Меня подпалило.
Your goose is cooked!	Тебе крышка!
They got fried!	Их зажарили!
Let's try a new recipe.	Давай новый рецепт.
It's a new me!	Это новый я!
Let's have a taste!	Давай на вкус!
Whirligig!	Вертушка!
Torch me!	Поджарь меня!
A virus?	Вирус?
Paralyzed pastry!	Парализованная выпечка!
I'm knackered.	Я выдохся.
Where is everyone?	Где все?
Frozen bread!	Мёрзлый хлеб!
Freshly-baked Doughie!	Свежеиспечённый Тестяш!
Bread barrier!	Хлебный барьер!
Cheesaholic	Сыроголик
"Ever tried Slimemoss on rye?"	"Пробовал слизьмоха на ржи?"
You won't get far without me!	Без меня далеко не уйдёшь!
C'mon!	Давай!
Never!	Никогда!
Again!?	Опять!?
That's some tasty mana!	Вот это вкусная мана!
Believe me!!!	Поверь мне!!!
Atmospheric!	Атмосферно!
Filthy poison.	Грязный яд.
I'm getting number by the second.	Немею с каждой секундой.
Where's he at?	Где он?
Save the last dance for me!	Последний танец — мне!
Legendary Lad	Легендарный малый
"What can I say? I rule!"	"Что сказать? Я рулю!"
This can't happen to me!	Со мной такого быть не может!
Pack your bags!	Пакуй чемоданы!
They got you!	Тебя достали!
Oh, come on!	Да ладно!
Give in to Ledge!	Сдайся Легенде!
Spin!	Крутись!
Poison!? Well I never.	Яд!? Ну надо же.
Paralysis!? Who'd o' thunk-it?	Паралич!? Кто б мог подумать?
Sleeping on the job.	Спит на работе.
Which way to turn?	Куда повернуть?
Get my autograph!	Бери автограф!
Baby, I'm a star!	Детка, я звезда!
Staff Sergeant	Старшина
"I blame the government."	"Во всём виновато правительство."
They got me...	Меня достали...
You're gonna give me the truth.	Ты мне выдашь правду.
You can't handle the truth!	Ты правды не выдержишь!
They're tailing me.	Они хвостом сидят.
It's a conspiracy.	Это заговор.
Poison! I knew it!	Яд! Я так и знал!
Paralysis! I knew it!	Паралич! Я так и знал!
What's with this fatigue?	Что за усталость?
Where's the truth at?	Где правда?
Grow up big and strong.	Расти большим и сильным.
Explosive truth.	Взрывная правда.
Record the truth.	Запиши правду.
I'm going undercover.	Иду под прикрытием.
No ordinary box.	Не простой ящик.
Dragon Baggin'	Дракон в мешке
"If it's got scales, it's mine!"	"Если есть чешуя — оно моё!"
What a drag...	Какая тягомотина...
Don't make any sudden moves!	Без резких движений!
How did it come to this!?	Как до этого дошло!?
An encore...	На бис...
I'm dry-heaving.	Меня тошнит вхолостую.
I'm numb to it all...	Я ко всему онемел...
Give it your all.	Выложись полностью.
A blizzard!	Метель!
Ludicrous Lady	Нелепая леди
"It's that loveable Lala!"	"Это та самая милая Лала!"
Lalalaaaargh!!!	Лалалааааргх!!!
Lala found a bad man!	Лала нашла плохого человека!
Lala not like!!!	Лала не нравится!!!
Lala wanna go home!	Лала хочет домой!
Lalalight!	Лаласвет!
Cure me!	Вылечи меня!
Paralalalaysis.	Паралалалич.
Lalazzz...	Лалаззз...
Lalala, where next?	Лалала, куда дальше?
Sleepy Lala time!	Сонный час Лалы!
Save Lala!	Спаси Лалу!
Purify!	Очисти!
Fly!	Лети!
Can't touch Lala!	Лалу не трогать!
Idiotic Ingrate	Тупой неблагодарный
"Sure, I've made some mistakes."	"Конечно, я кое в чём ошибался."
Father, forgive me...	Отче, прости меня...
This guy's the end-of-level boss?	Это босс конца уровня?
Idiot!	Идиот!
Back here again.	Снова тут.
Rustas revival!	Возрождение Рустаса!
Gimme that mana!	Гони ману!
Hello light!	Привет, свет!
I'm gonna be sick...	Сейчас стошнит...
Growing numb...	Немею...
I'm crashing out.	Отключаюсь.
You gotta think like Badman...	Думай как Бэдмен...
Hit that hay!	Вали на сеновал!
Blizzard comin' at ya!	Метель вам в морду!
Special delivery!	Особая доставка!
Pretty Pitcher	Красавец-подающий
"The Quest for the Golden Mitt!"	"Погоня за золотой перчаткой!"
Strike three... You're out!	Третий промах... Ты вне игры!
And who do we have here?	А это ещё кто у нас?
Restart!	Сначала!
Big swing!	Широкий замах!
Home run!	Вынос за поле!
Night game!	Ночная игра!
Wake me when it's over.	Разбуди, когда кончится.
Strike?	Промах?
Bases loaded!	Базы забиты!
Extra innings!	Дополнительная серия!
Bottomless Pit	Бездонный живот
"Anyone got a spare spork?"	"У кого лишняя ложка-вилка?"
I wanted one more helping...	Хотел ещё одну порцию...
I found him! Do I get to eat him?	Нашёл его! Можно его съесть?
I gotta look after number one.	Сначала о себе позабочусь.
Guess I'll start over.	Видать, начну заново.
A free lunch!	Бесплатный обед!
Pass the HP!	Передай ХП!
Bright 'n' breezy!	Ярко и свежо!
Can I eat that?	Это можно есть?
Even my guts are numb.	Даже кишки онемели.
Lemme sleep off lunch.	Дай отоспаться после обеда.
I'm lost.	Я заблудился.
Hit the bunks!	По койкам!
Bizarre blizzard!	Странная метель!
I got it!	Понял!
Reflector!	Отражатель!
Vengeful Vigilante	Мстительный страж
"You stole my baby brother!"	"Ты украл моего младшего брата!"
It was all for you, bro...	Всё было ради тебя, брат...
It's all your fault!	Во всём виноват ты!
Gotta plunge back in.	Надо нырнуть обратно.
Get some!!!	Получай!!!
Blood transfusion!	Переливание крови!
A blow for justice!	Удар за справедливость!
Not that I need light...	Не то чтобы мне нужен свет...
What's that funny taste?	Что это за странный вкус?
I'm frozen to the spot.	Примёрз к месту.
I'm nodding off.	Клюю носом.
I'm getting worried.	Мне уже тревожно.
Take note!	Запиши!
Bequiffed Battler	Боец с коком
"I'm NOT taking my hat off!"	"Я шапку НЕ сниму!"
There's no dignity in it...	В этом нет достоинства...
They died as they lived...	Умерли так, как жили...
Re-Re-Rewind!	Пе-пе-перемотка!
Barnet boost!	Усиление шевелюры!
What you gonna do!?	Ну и что будешь делать!?
Drain that mana!	Высоси ману!
Airborne assault!	Удар с воздуха!
I'm not blind!	Я не слепой!
I'm poisoned, I tells ya!	Меня отравили, говорю!
I'm numb, I tells ya!	Я онемел, говорю!
Where's my nightcap?	Где мой ночной колпак?
Where's my stylist?	Где мой стилист?
Sleep it up, suckers!	Спите, сосунки!
Save our souls!	Спасите наши души!
Blow!	Дуй!
Over to you.	Дальше за тобой.
Goat-Herder	Пастух коз
"Badmella gets my goat!"	"Бэдмелла меня бесит!"
Bury me with my goats.	Похороните меня с козами.
You got your daughter's number?	Номер дочери есть?
They got you?	Тебя достали?
Back at the entrance.	Снова у входа.
Healing water!	Целебная вода!
I'm so alive!	Я так живой!
Let me squeeze you.	Дай тебя потискать.
Mana squeeze!	Выжимка маны!
Let's dance!	Давай танцевать!
Power of a goat herd!!!	Сила козьего стада!!!
Attack of wind!	Атака ветра!
They poisoned Peter.	Отравили Питера.
They paralyzed Peter.	Парализовали Питера.
Sleep, you scoundrels!	Спите, негодяи!
Wholesome food!	Здоровая еда!
A place to lay my knapsack.	Место для котомки.
Time for a costume change.	Пора менять костюм.
Where's my goatskin overcoat?	Где мой козий тулуп?
Here you are!	Вот вы где!
Toolbox!	Ящик с инструментом!
Pure water.	Чистая вода.
Lava lover!	Любитель лавы!
We're in for a cold snap.	Нас ждёт похолодание.
I'm safe in here.	Тут я в безопасности.
Lovelorn Loser	Влюблённый неудачник
"My heart cries out for her!"	"Сердце кричит по ней!"
I fell for a woman's wiles.	Попал на женские чары.
We need to talk about Badmella.	Надо поговорить о Бэдмелле.
Let go of your ego.	Отпусти своё эго.
Charged up!	Заряжен!
I'll have some of that!	От этого и мне!
Mana please!	Маны, пожалуйста!
Stand back!	Назад!
Burning up!	Полыхаю!
Twister time!	Время смерча!
Let there be light!	Да будет свет!
It's a trap!	Это ловушка!
It's up to you!	Дальше за тобой!
Let's change it up.	Давай сменим пластинку.
Don't move a muscle.	Мышца не дёргай.
Big bad box!	Большой злой ящик!
Synchronized swimming?	Синхронное плавание?
You're going to burn!	Ты сгоришь!
You'll be sent flying!	Тебя унесёт!
You won't be moving!	Ты не сдвинешься!
Collapsed Psyche	Разбитая психика
"Can I still call myself a man?"	"Могу ли я ещё звать себя мужчиной?"
Goodbye cruel world.	Прощай, жестокий мир.
Are you responsible for this place?	Ты за это место в ответе?
You're a grown-up. Deal with it.	Ты взрослый. Справься.
And back we come again.	И снова мы тут.
Ah, blessed relief.	Ах, благословенное облегчение.
Is that it?	И это всё?
I got him!	Достал его!
Get that mana!	Забирай ману!
Can I get away with this?	Прокатит ли это?
Burn out!	Выгори!
Enlightenment, at long last...	Просветление, наконец...
Pathetic poison...	Жалкий яд...
Pitiful paralysis...	Жалкий паралич...
Snack time!	Пора перекусить!
I'm serious!	Я серьёзно!
Hello, you!	Привет, ты!
Out with the old...	Долой старое...
Don't dream of moving.	И не мечтай пошевелиться.
Is that right?	Так, что ли?
Let's run riot!	Давай устроим разгром!
Get swallowed up!	Будь проглочен!
Get washed away!	Будь смыт!
Protective Parent	Заботливый родитель
"Vacancy for a daughter."	"Вакансия на дочь."
I knew this was going to happen.	Я знал, что так будет.
Is that make-up?	Это грим?
You don't get it!	Ты не понимаешь!
I'm going back in!	Я иду обратно!
You're gonna get it!	Ты получишь!
Mana for me!	Мана мне!
Sweet!	Сладость!
Blaze of glory!	Пламя славы!
Wanna fly!?	Хочешь полетать!?
Disobedient limbs!	Непослушные конечности!
You can't hide forever!	Вечно не спрячешься!
Have a little nap!	Вздремни чуток!
Check this out!	Глянь сюда!
Have a blast!	Будет взрыв!
This is gonna be fun!	Это будет весело!
Hold it right there!	Стоять!
Go for it!	Давай!
Time to roll up my sleeves.	Пора засучить рукава.
Time to tidy up!	Пора навести порядок!
Samurai Savior	Самурай-спаситель
"If it be my master's will..."	"Коль такова воля господина..."
It's all just a dream...	Всё лишь сон...
I thought I might bump into you.	Думал, могу на тебя наткнуться.
My liege!	Мой господин!
I have returned.	Я вернулся.
Who dares face me!?	Кто смеет мне противостоять!?
Your HP is mine!	Твои ХП — мои!
Death by a thousand cuts!	Смерть от тысячи порезов!
Ah, torchlight.	Ах, свет факела.
I...grow sick...	Меня... мутит...
Save us!	Спасите нас!
Despicable Despot	Мерзкий деспот
"All this will be mine!"	"Всё это будет моим!"
What about my ambitions?	А как же мои амбиции?
The root of all evil!	Корень всех зол!
Contemptible fool!	Презренный дурак!
I must not falter.	Я не должен дрогнуть.
Despot boost!	Деспот, ускорься!
Squeeze them dry.	Выжми их досуха.
What a pain.	Какая боль.
I can see now.	Теперь вижу.
Growing so numb...	Так немею...
ZZzzz...	Хрррр...
Where does my destiny lie?	Где лежит моя судьба?
Sleep now!	Спи сейчас!
History demands that I save!	История требует, чтобы я сохранился!
Turn them to ice!	Обратить их в лёд!
I'm counting on you!	Я на тебя рассчитываю!
Man of Mystery	Человек-загадка
"Please donate your old socks!"	"Пожертвуйте старые носки!"
The mystery remains unsolved...	Загадка так и не разгадана...
Marry me!	Выходи за меня!
The bitter taste of defeat.	Горький вкус поражения.
Hand it over!	Гони сюда!
This could get messy.	Может выйти грязно.
Bloomin' poison, innit?	Яд проклятый, да?
I'll get some rest.	Чуть отдохну.
Where now?	Куда теперь?
Save, innit?	Сохраниться, да?
I'm all inspired!	Я весь вдохновлён!
Valiant Valet 	Доблестный камердинер
"Is this wise?"	"Это мудро?"
The air's gone out of my balloon...	Воздух вышел из моего шара...
My love!	Любовь моя!
What a tragedy.	Какая трагедия.
Let us not falter.	Не дрогнем.
Bright thinking!	Яркая мысль!
Poison...	Яд...
How're things looking?	Как обстановка?
Come, my fine fiends!	Идите, мои славные гады!
Air-con!	Кондиционер!
Sharp-Witted Warrior	Острослов-воин
"I'll dissect your best men!"	"Рассеку твоих лучших людей!"
Is that my blood?	Это моя кровь?
I hear wedding bells!	Слышу свадебный звон!
Please don't go...	Пожалуйста, не уходи...
Back to the drawing board...	Назад к чертежам...
I can be somewhat cutting.	Я бываю резок.
Storm warning!	Штормовое предупреждение!
Fine lighting.	Славный свет.
My vision grows dim.	Зрение тускнеет.
My legs grow heavy.	Ноги тяжелеют.
Is there much more?	Много ещё осталось?
Get devoured!	Будь сожран!
Yellow-Bellied	Желтобрюхий
"The yolk's on you!"	"Желток на тебе!"
I got beaten...	Меня побили...
Egg on your face...	Яйцо на лице...
The walls are closing in.	Стены сжимаются.
Alby's so alive!	Альби так живой!
Batten down the hatches.	Задраить люки.
Nice fireworks!	Славный фейерверк!
Toxic eggs?	Ядовитые яйца?
Scrambled eggs?	Яичница-болтунья?
Which direggcion?	В какую яйцосторону?
Sunny side up!	Глазунья кверху!
Serve chilled.	Подавать охлаждённым.
How eggciting!	Какая яйцепция!
I can't hear you!	Я тебя не слышу!
Merciless Mercenary	Беспощадный наёмник
"I'll marry you - for a price!"	"Выйду за тебя — за плату!"
They finally got me...	Меня наконец достали...
Do I get a reward?	Мне будет награда?
Leave your gold when you go!	Золото оставь, как уйдёшь!
I'm not escaping!	Я не сбегу!
Give up your wealth!	Отдай богатство!
Boost me, baby!	Подстегни меня, детка!
Get ready for this!	Готовься к этому!
They poisoned my breakfast!	Отравили мой завтрак!
Cursed paralysis!	Проклятый паралич!
I'll grab some shut-eye.	Вздремну чуток.
Gotta sniff out the gold...	Надо вынюхать золото...
This one's a keeper.	Этого оставлю.
Newbie Hero	Герой-новичок
"I'm getting the hang of this!"	"Я уже втягиваюсь!"
I don't get it...	Не въезжаю...
Is this the one for me!?	Это тот, что мне нужен!?
I'm lost!	Я заблудился!
Suck that mana out!	Высоси ману!
It's ready to explode!	Сейчас рванёт!
My lips are blue...	Губы синие...
Limbs of lead.	Конечности как свинец.
I'll sleep it off.	Отосплюсь.
Where am I?	Где я?
Somewhere to rest.	Где передохнуть.
Tragic Tattoo Victim	Жертва неудачной тату
"There's a story behind this one..."	"За этой есть история..."
I just needed a better weapon.	Мне просто нужно было лучшее оружие.
I found you at last!	Наконец-то нашёл тебя!
You got killed!	Тебя убили!
Makes things clearer...	Так всё яснее...
I feel sickened.	Меня мутит.
Don't let me down!	Не подведи меня!
Safest to save.	Безопаснее сохраниться.
This'll stop you in your tracks.	Это тебя остановит.
Crybaby Babe-Magnet	Нытик-сердцеед
"Look deep into my eyes..."	"Загляни мне в глаза..."
I couldn't cut it...	Я не потянул...
Must I drag you home?	Мне тебя домой тащить?
You knew the risks.	Ты знал риски.
Let's take it from the top.	Давай с начала.
Light relief.	Светлая передышка.
Is poison good for you?	Яд тебе полезен?
I didn't want to move anyway.	Я и так не хотел двигаться.
Ah-phew...	Ах-фух...
Sleep, my love!	Спи, любовь моя!
Purify yourselves!	Очиститесь!
You'll all burn!	Вы все сгорите!
Get blown away!	Вас сдует!
Solid shield!	Крепкий щит!
Love Machine	Машина любви
"Women can't resist."	"Женщины не устоят."
So these are my dying words?	Так это мои предсмертные слова?
I see you!	Вижу тебя!
How can this happen?	Как такое возможно?
From the start.	С начала.
I can see myself better!	Себя лучше вижу!
Where'd he go?	Куда он делся?
Earn your keep!	Отработай своё!
Polished Poser	Лощёный позёр
"Maybe we could settle down here?"	"Может, тут осядем?"
Don't forget me...	Не забудь меня...
Wanna party?	Потусим?
Can we check the map?	Карту глянем?
Is this HP decaf?	Это ХП без кофеина?
Percolation!	Прокапало!
This is sick.	Это мерзко.
I'm tingling in a bad way.	Покалывает по-плохому.
Scope out the surroundings.	Осмотри окрестности.
Go to bed!	Иди спать!
Check this out.	Глянь сюда.
I'm highly motivated!	Я крайне мотивирован!
Block it out!	Заблокируй!
Decaf Heroine	Героиня без кофеина
"There's nothing you can't do!"	"Нет ничего, чего ты не сможешь!"
I'm getting off this ride.	Я схожу с этих горок.
Come and stay with us.	Иди погости у нас.
Farewell!	Прощай!
I've still got plenty of fight in me!	Во мне ещё полно боя!
Ah... Feels good!	Ах... Как хорошо!
It's a bit blustery.	Ветрено малость.
Night light!	Ночник!
Poison, eh?	Яд, да?
Paralysis, eh?	Паралич, да?
So...sleepy...	Так...спать...
I can't see him.	Его не вижу.
Must save.	Надо сохраниться.
Which Witch	Какая ведьма
"Who ever heard of a witch on a mop!?"	"Кто слышал о ведьме на швабре!?"
Bury me with my mop.	Похороните меня со шваброй.
Eeeeh!	Эээээ!
Mana sap!	Высос маны!
Eeeehhh!!!	Эээээххх!!!
Light's on!	Свет горит!
Urgh... What's this!?	Ургх... Это ещё что!?
Witch way to go?	Ведьмин путь?
Bandleader	Лидер группы
"I prefer your early stuff."	"Мне больше раннее твоё."
Creative differences...	Творческие разногласия...
Let me serenade you!в™Є	Дай спеть тебе серенаду!♪
What about the band!?	А как же группа!?
Light of my life!в™Є	Свет моей жизни!♪
Your love's venomous, baby.в™Є	Любовь твоя ядовита, детка.♪
I'm frozen with desire...and paralysis...в™Є	Застыл от страсти...и паралича...♪
Let me sing a little lullabyв™Є	Спою тебе колыбельную♪
Which path to choose?в™Є	Какой путь выбрать?♪
Demon Digits	Дьявольские пальцы
"My fretboard's smokin'!"	"Гриф у меня дымится!"
They cut my axe solo...	Мне срезали гитарный соло...
D'you play keys, dude?	На клавишах играешь, чувак?
You're out of the band!	Ты вне группы!
Not again.	Опять.
Trash the stage!	Разнеси сцену!
Spotlight's on me.	Софит на мне.
I hate poison.	Ненавижу яд.
I can't move my fingers!	Пальцы не слушаются!
All this shredding is making me sleepy.	От этого перебора клонит в сон.
Where's my agent?	Где мой агент?
Racy Bassist	Дерзкий басист
"Is that too funky for you?"	"Это слишком забойно для тебя?"
Should've...turned up...for rehearsal...	Надо было...явиться...на репетицию...
You should be in a band.	Тебе бы в группу.
You missed a beat!	Ты пропустил долю!
Back down we go.	Снова вниз.
Bright lights!	Яркий свет!
Gross out!	Фу, гадость!
Body...growing numb...	Тело...немеет...
Where's my bass amp?	Где мой басовый комбик?
Shameless Cheat	Бессовестный мошенник
"Who needs dumb MMORPGs?"	"Кому нужны тупые сетевые качалки?"
I just got pwned.	Меня только что уделали.
You're so caught.	Ты так попался.
You got pwned!!!	Тебя уделали!!!
Darn entrance!	Чёртов вход!
Take that, lo5ers!	Получайте, лохи!
This is gonna blow.	Сейчас рванёт.
Ah, it's too bright.	Ах, слишком ярко.
Poison won't faze me!	Яд меня не проймёт!
Paralysis won't faze me!	Паралич меня не проймёт!
Maybe I need an energy drink...	Может, нужен энергетик...
Aren't there any cheats?	Кодов нет, что ли?
Best to save.	Лучше сохраниться.
Box of tricks!	Ящик фокусов!
Skeletal Slimmer	Костлявый худышка
"Never drink dungeon water!"	"Никогда не пей воду из данжа!"
I did my best...	Я выложился...
The famous Badman!	Знаменитый Бэдмен!
I've got no money for the inn!	Нет денег на ночлег!
How many calories in this?	Сколько тут калорий?
HPmungous!	ХПгромадный!
My eyes hurt!	Глаза болят!
I'm tingly.	Покалывает.
Sleeping powder...	Сонный порошок...
Freeze you to the spot!	Приморозь к месту!
Slim pickings!	Тощая добыча!
Right back at you!	Тем же макаром!
Ineligible Bachelor	Непригодный холостяк
"Line up, ladies!"	"В очередь, дамы!"
So I die alone...	Так я умру один...
You're shorter in real life...	В жизни ты ниже...
I feel so forlorn.	Мне так тоскливо.
Yes, I'm back.	Да, я вернулся.
Revolving doors!	Вращающиеся двери!
Poisoned in my prime...	Отравлен в расцвете...
Where are the bachelorettes?	Где невесты?
The die is cast!	Жребий брошен!
This'll blow your mind.	Это взорвёт мозг.
Save, my love!	Сохранись, любовь моя!
